Nome,Classe,CNPJ,Pais Sede,Ativo /|Cancelado,ID da|empresa,Setor NAICS|ult disponiv,Setor|Economática,Tipo de Ativo,Bolsa,Código,ISIN,Meses|Dez 2011|no exercício|consolid:sim*,Ativo Tot|Dez 2011|em moeda orig|em milhares|consolid:sim*,Patrim Liq|Dez 2011|em moeda orig|em milhares|consolid:sim*,Receita|Dez 2011|em moeda orig|em milhares|no exercício|consolid:sim*,Lucro Bruto|Dez 2011|em moeda orig|em milhares|no exercício|consolid:sim*,Lucro Liq|Dez 2011|em moeda orig|em milhares|no exercício|consolid:sim*,Moeda dos|Balanços,Qtd Ações|Outstanding|da empresa|em milhares|31Dez11,LPA|Dez 2011|em moeda orig|de 12 meses|consolid:sim*|ajust p/ prov,VPA|Dez 2011|em moeda orig|consolid:sim*|ajust p/ prov,Vendas/Acao|Dez 2011|em moeda orig|de 12 meses|consolid:sim*|ajust p/ prov,Divid por Ação|31Dez11|1 anos|em moeda orig,Div Yld (fim)|31Dez11|no Ano|em moeda orig,Div Yld (inic)|31Dez11|1 anos|em moeda orig,PrinAcion|31/12/2011|1.Maior|Sem Voto,%AcPoss|31/12/2011|1.Maior|Sem Voto,PrinAcion|31/12/2011|2.Maior|Sem Voto,%AcPoss|31/12/2011|2.Maior|Sem Voto,PrinAcion|31/12/2011|3.Maior|Sem Voto,%AcPoss|31/12/2011|3.Maior|Sem Voto,PrinAcion|31/12/2011|4.Maior|Sem Voto,%AcPoss|31/12/2011|4.Maior|Sem Voto,PrinAcion|31/12/2011|5.Maior|Sem Voto,%AcPoss|31/12/2011|5.Maior|Sem Voto,PrinAcion|31/12/2011|6.Maior|Sem Voto,%AcPoss|31/12/2011|6.Maior|Sem Voto,PrinAcion|31/12/2011|7.Maior|Sem Voto,%AcPoss|31/12/2011|7.Maior|Sem Voto,PrinAcion|31/12/2011|8.Maior|Sem Voto,%AcPoss|31/12/2011|8.Maior|Sem Voto,PrinAcion|31/12/2011|9.Maior|Sem Voto,%AcPoss|31/12/2011|9.Maior|Sem Voto,PrinAcion|31/12/2011|10.Maior|Sem Voto,%AcPoss|31/12/2011|10.Maior|Sem Voto,PrinAcion|31/12/2011|1.Maior|Com Voto,%AcPoss|31/12/2011|1.Maior|Com Voto,PrinAcion|31/12/2011|2.Maior|Com Voto,%AcPoss|31/12/2011|2.Maior|Com Voto,PrinAcion|31/12/2011|3.Maior|Com Voto,%AcPoss|31/12/2011|3.Maior|Com Voto,PrinAcion|31/12/2011|4.Maior|Com Voto,%AcPoss|31/12/2011|4.Maior|Com Voto,PrinAcion|31/12/2011|5.Maior|Com Voto,%AcPoss|31/12/2011|5.Maior|Com Voto,PrinAcion|31/12/2011|6.Maior|Com Voto,%AcPoss|31/12/2011|6.Maior|Com Voto,PrinAcion|31/12/2011|7.Maior|Com Voto,%AcPoss|31/12/2011|7.Maior|Com Voto,PrinAcion|31/12/2011|8.Maior|Com Voto,%AcPoss|31/12/2011|8.Maior|Com Voto,PrinAcion|31/12/2011|9.Maior|Com Voto,%AcPoss|31/12/2011|9.Maior|Com Voto,PrinAcion|31/12/2011|10.Maior|Com Voto,%AcPoss|31/12/2011|10.Maior|Com Voto
J B Duarte,ON,60637238000154,BR,ativo,1231,Indústria de alimentos,Alimentos e Beb,Ação,Bovespa,JBDU3,BRJBDUACNOR6,12,103988,25571,0,0,-7106,Real,929128,-0.01168004788,0.027521504034,0,0,0.0,0.0,Kracow Participacoes S/A,10.9,Monte Mor S/A - Comercio Importacao e Exportacao,10.4,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Duagro S/A Adm e Partic,64,-,0.0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
JBS,ON,2916265000160,BR,ativo,2057,Abatedouros,Alimentos e Beb,Ação,Bovespa,JBSS3,BRJBSSACNOR8,12,47410884,20663822,61796761,6696554,-75705,Real,2964257,-0.02792048407,6.9709944986,22.79103733,0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Fb Participacoes S.A.,46,Bndespar - BNDES Participacoes SA,30.4,Prot - Fundo de Invest. em Participacoes,7,Acoes em Tesouraria,3.1,-,-,-,-,-,-,-,-,-,-,-,-
Jereissati,ON,60543816000193,BR,ativo,867,Administração de empresas e empreendimentos,Outros,Ação,Bovespa,MLFT3,BRMLFTACNOR6,12,17203393,1667036,5123363,1880871,778636,Real,957791,0.81294979803,1.7405007982,5.349145064,0.157069,11.5,-,Sociedade Fiduciaria Brasileira,28.4,Previ Cx Prev Funcs Bco Brasil,21.9,Fundacao Atlantico de Seg. Social,13.9,Itatinga Coml. Indl. e Agric. S/A,6.8,Fundo Fator Sinergia III FIA,4.6,Fator Sinergia IV FIA,2.4,Carlos Francisco R. Jereissati,1.6,Acoes em Tesouraria,1,Jpsul Participacoes e Repres. Coms,0.4,Southmall Holding Ltda,0.1,Sociedade Fiduciaria Brasileira,31,Southmall Holding Ltda,22.7,Previ Cx Prev Funcs Bco Brasil,13,Fundacao Atlantico de Seg. Social,11.5,Jpsul Participacoes e Repres. Coms,10,Carlos Francisco R. Jereissati,6,Itatinga Coml. Indl. e Agric. S/A,1.9,Acoes em Tesouraria,0,Fundo Fator Sinergia III FIA,0,-,0.0
JHSF Part,ON,8294224000165,BR,ativo,2060,Construção e empreendimentos imobiliarios,Construção,Ação,Bovespa,JHSF3,BRJHSFACNOR2,12,2545388,1155963,909436,391698,218997,Real,428607,0.51359243924,2.6970226374,2.1328121096,0.23462099003,4.3,6.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JHSF Par S/A,63,Fabio Roberto Chimenti Auriemo,8.7,Jose Auriemo Neto,9,Acoes em Tesouraria,0.0,-,-,-,-,-,-,-,-,-,-,-,-
Joao Fortes,ON,33035536000100,BR,ativo,781,Construção de edifícios residenciais,Construção,Ação,Bovespa,JFEN3,BRJFENACNOR0,12,1801495,391001,644959,196172,66697,Real,100000,0.66697,3.91001,6.44959,0.1382544829,1.5,1.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Fundo de Investimento em Participacoes da Serra,60,Banco Maxima SA,29.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Josapar,ON,87456562000122,BR,ativo,1328,Moinho de grãos,Alimentos e Beb,Ação,Bovespa,JOPA3,BRJOPAACNOR5,12,1031095,356594,737262,236359,18690,Real,10582,1.7662067662,33.698166698,69.671328671,0.32695,1.6,1.5,Peroli S/A Participacoes,0.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Peroli S/A Participacoes,59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
JSL,ON,52548435000179,BR,ativo,2202,Transporte rodoviário,Transporte Serviç,Ação,Bovespa,JSLG3,BRJSLGACNOR2,12,3844849,843391,2408237,393728,56856,Real,199385,0.28794180706,4.2299600121,12.19628735,0.17888734,1.9,1.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Simpar S.A.,52,Fernando Antonio Simoes,13.5,Jussara Elaine Simoes,2,Solange Maria Simoes Reis,2.2,Marita Simoes,2,-,-,-,-,-,-,-,-,-,-
Karsten,ON,82640558000104,BR,ativo,414,Indústria de roupas de tecido,Textil,Ação,Bovespa,CTKA3,BRCTKAACNOR0,12,365555,38819,354591,85259,-69439,Real,14406,-4.8201443843,2.6946411218,24.614119117,0.1678297,4.2,-,Yukon FIA,25.7,Adm. Bens Schwanke Ltda,10.6,J Malucelli Small Caps FIA,9.0,Schwanke Industria Textil Ltda,7.1,Ralf Karsten,3.9,Edelsa Participacoes S/A,1.3,Gt Participacao Ltda,0.7,Luca Empr. Part. Consult. Ltda,0,-,-,-,-,Edelsa Participacoes S/A,27,Ralf Karsten,27.0,Gt Participacao Ltda,26,Luca Empr. Part. Consult. Ltda,5.0,Adm. Bens Schwanke Ltda,0,Schwanke Industria Textil Ltda,0,-,0.0,-,0,-,-,-,-
Kepler Weber,ON,91983056000169,BR,ativo,787,Indústria de estruturas metálicas,Siderur & Metalur,Ação,Bovespa,KEPL3,BRKEPLACNOR1,12,651348,296913,422126,85710,28254,Real,1309271,1.0789955566,11.338867201,16.120622862,0,0.0,0.0,-,0.0,-,0.0,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Previ Cx Prev Funcs Bco Brasil,18,BB Banco de Investimento S/A,17.6,Shalom Fundo de Investimento de Acoes,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Klabin S/A,ON,89637490000145,BR,ativo,1265,"Indústria de papel , celulose e papelão",Papel e Celulose,Ação,Bovespa,KLBN3,BRKLBNACNOR2,12,12741595,4958302,3889151,1332286,182721,Real,887683,0.20535704363,5.5856655435,4.3709510763,0.21858,3.1,3.5,Bndespar - BNDES Participacoes SA,15.3,The Bank Of New York - Adr,9.7,Monteiro Aranha S.A.,4.9,Acoes em Tesouraria,4.5,-,0.0,-,0.0,-,-,-,-,-,-,-,-,Klabin Irmaos & Cia,52,Monteiro Aranha S.A.,20.0,Niblak Participacoes S.A.,8,-,0.0,-,0,-,0,-,-,-,-,-,-,-,-
Kroton,ON,2800026000140,BR,ativo,1797,Educacão,Outros,Ação,Bovespa,KROT3,BRKROTACNOR9,12,2966472,1475331,734553,241099,37375,Real,595227,0.07099340721,2.4786022811,1.3952754581,0,-,-,Constellation Investimentos e Participacoes Ltda,11.5,Oppenheimer Funds Inc.,8.7,Fmr Llc(Fidelity),8.7,Altamiro Belo Galindo,7.2,Samos Participacoes Ltda,3.6,Neiva Participacoes Ltda,3.6,Julio Fernando Cabizuca,2.8,Acoes em Tesouraria,2,Pitagoras Adm. e Participacoes S.A.,0.9,Citissimo do Brasil Participacoes Ltda,0.6,Pitagoras Adm. e Participacoes S.A.,77,Constellation Investimentos e Participacoes Ltda,2.7,Oppenheimer Funds Inc.,2,Fmr Llc(Fidelity),2.0,Altamiro Belo Galindo,2,Samos Participacoes Ltda,1,Neiva Participacoes Ltda,0.8,Julio Fernando Cabizuca,1,Acoes em Tesouraria,1,Citissimo do Brasil Participacoes Ltda,0.1
La Fonte Tel,ON,53790218000153,BR,ativo,1226,Telecomunicações,Telecomunicações,Ação,Bovespa,LFFE3,BRLFFEACNOR2,12,13923306,876937,4793332,1637070,885828,Real,543801,1.6289561807,1.6126064498,8.8144964794,0.312615,-,-,Jereissati Participacoes S/A,78.2,Previ Cx Prev Funcs Bco Brasil,19.7,Sociedade Fiduciaria Brasileira,0.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Jereissati Participacoes S/A,80,Previ Cx Prev Funcs Bco Brasil,19.9,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lark Maqs,ON,60631090000140,BR,ativo,797,Concerto e manutenção de equipamentos (exceto eletrônicos e de precisão),Outros,Ação,Bovespa,LARK3,BRLARKACNOR5,12,23620,-11726,20785,2855,-12294,Real,1462,-8.4090287278,-8.0205198358,14.216826265,0,-,-,Suporte Organizacao e Servicos Ltda,99.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Suporte Organizacao e Servicos Ltda,99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Le Lis Blanc,ON,49669856000143,BR,ativo,2144,Tecelagens,Textil,Ação,Bovespa,LLIS3,BRLLISACNOR4,12,542893,197020,471100,326789,37657,Real,57088,0.22136498242,1.1503877055,2.7693401816,0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Waterford Participacoes S.A.,16,Northstar Equity Inv Llc,12.3,Rio Verde Cons. e Part. Ltda.,10,Federated Kauffman Fund,7.0,Thema Participacoes Ltda,2,Afwg Retail Investments Ltda,0,-,-,-,-,-,-,-,-
LF Tel,ON,2390206000109,BR,ativo,1744,Telecomunicações,Telecomunicações,Ação,Bovespa,PITI3,BRPITIACNOR9,12,20768236,957569,7330651,2505687,-195493,Real,960922,-0.22403875002,0.9965106429,8.4010674903,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Edsp75 Participacoes S.A.,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Light S/A,ON,3378521000175,BR,ativo,1987,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,LIGT3,BRLIGTACNOR2,12,10981660,3221374,6944785,1654490,310647,Real,203934,1.523271787,15.796154894,34.054071203,2.726443,9.5,10.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Cemig - Cia Energetica de MG,26,Bndespar - BNDES Participacoes SA,15.0,Rme Rio Minas Energia Part. S/A,13,Luce Empreendimentos e Participacoes (Lepsa),13.0,-,-,-,-,-,-,-,-,-,-,-,-
Litel,ON,743065000127,BR,ativo,1509,Mineração de metais,Mineração,Ação,Bovespa,LTEL3B,BRLTELACNOR1,12,29762946,26596262,0,0,6388740,Real,282105,22.590986446,94.277882349,0,1.0090218568,-,-,FIA - BB Carteira Ativa,81.2,Previ Cx Prev Funcs Bco Brasil,18.8,Carteira Ativa II FIA,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FIA - BB Carteira Ativa,78,Carteira Ativa II FIA,21.6,Previ Cx Prev Funcs Bco Brasil,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lix da Cunha,ON,46014635000149,BR,ativo,477,Outras construções pesadas,Construção,Ação,Bovespa,LIXC3,BRLIXCACNOR3,12,330395,52991,14709,5227,-836,Real,11993,-0.069707329275,4.4184941216,1.2264654382,0,0.0,0.0,Sao Fernando VI FIA,12.2,David Rodolpho Navegantes Neto,10.0,Celso do Amaral Ribeiro,9.8,Fama Futurevalue FIC FIA,5.7,Waldir Ferereira da Costa,0.6,Hilda Ferreira da Costa,0.6,-,0.0,-,0,-,0.0,-,-,Felix Administr. e Participacoes S.A.,52,Fausto da Cunha Penteado,11.8,Moacir da Cunha Penteado,11,Waldir Ferereira da Costa,6.2,Hilda Ferreira da Costa,6,Fama Futurevalue FIC FIA,2,Sao Fernando VI FIA,2.2,David Rodolpho Navegantes Neto,0,-,0,-,-
LLX Log,ON,8741499000108,BR,ativo,2148,Administração de empresas e empreendimentos,Outros,Ação,Bovespa,LLXL3,BRLLXLACNOR8,12,2280971,890743,15649,15649,-39385,Real,693741,-0.056810960353,1.2839705308,0.022572926713,0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Eike Fuhrken Batista,30,Centennial Ass Mining Fundo Llc,23.8,Ontario Teachers Pension Plan Board,18,Norges Bank - HSBC Ctvm S.A.,5.0,-,-,-,-,-,-,-,-,-,-,-,-
Localiza,ON,16670085000155,BR,ativo,1973,Locadora de automóveis,Outros,Ação,Bovespa,RENT3,BRRENTACNOR4,12,4009554,1120583,2918130,902970,291642,Real,197525,1.4767210217,5.6731198582,14.775868753,0.403284426,1.6,1.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Antonio Claudio Brandao Resende,11,Jose Salim Mattar Junior,9.5,Flavio Brandao Resende,7,Eugenio Pacelli Mattar,7.1,Acoes em Tesouraria,2,-,-,-,-,-,-,-,-,-,-
Locamerica,ON,10215988000160,BR,ativo,2269,Locadora de automóveis,Outros,Ação,Bovespa,LCAM3,BRLCAMACNOR3,12,929714,158916,390682,158983,22576,Real,30774,0.48255304446,3.3967416996,8.3506727726,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Log-In,ON,42278291000124,BR,ativo,2071,Atividades auxiliares ao transporte,Transporte Serviç,Ação,Bovespa,LOGN3,BRLOGNACNOR3,12,1507111,534324,658720,42770,-78095,Real,85618,-0.912134257,6.240790488,7.693720184,0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vale S.A.,31,Fama Investimentos Ltda,16.4,Petros - Fund. Petrobras de Seg. Social,13,"Eton Park Capital Management, L.P.",8.3,Acoes em Tesouraria,7,-,-,-,-,-,-,-,-,-,-
Lojas Americ,ON,33014556000196,BR,ativo,808,Loja de departamentos,Comércio,Ação,Bovespa,LAME3,BRLAMEACNOR9,12,9550056,690490,10201624,3171515,340438,Real,746176,0.35741180951,0.72385583943,10.710264112,0.08030206916,0.8,0.8,"Companhia Preferencial de Varejo, Llc - Credit Suisse (Brasil) S/A Ctvm",18.7,Massachusetts Mutual Life Insurance Company,7.3,Carlos Alberto da Veiga Sicupira,5.1,Acoes em Tesouraria,4.2,Porthos Holding Llc - HSBC Ctvm SA,3.3,Mercosul Internet S.A.,3.1,Cathos Holding Llc,2.7,Lts Trading Company Llc - Citibank Dtvm SA,1,Gif3 Li-2 Llc,1.1,Cedar Trade Llc - Credit Suisse (Brasil) S/A Ctvm,0.6,S-Velame Adm. de Rec. e Part. S/A,52,Gif3 Li-2 Llc,12.2,"Companhia Global de Varejo, Llc - Credit Suisse (Brasil) S/A Ctvm",8,Tobias Cepelowicz,6.5,Acoes em Tesouraria,3,Massachusetts Mutual Life Insurance Company,0,-,0.0,-,0,-,0,-,0.0
Lojas Hering,ON,82640632000184,BR,ativo,811,Loja de roupas,Comércio,Ação,Bovespa,LHER3,BRLHERACNOR3,12,28347,2267,2284,1641,3005,Real,131,22.938931298,17.305343511,17.435114504,0,-,-,Guenther Achim Steinbach,54.2,Edda Elisa Steinbach,12.0,Cid Steinbach,6.1,Karina Adam Steinbach,4.9,Ademar Klemz,4.7,Denise Steinbach Zadrozny,0.1,-,-,-,-,-,-,-,-,Guenther Achim Steinbach,51,Edda Elisa Steinbach,18.2,Cid Steinbach,17,Ademar Klemz,3.8,Karina Adam Steinbach,2,Denise Steinbach Zadrozny,1,-,-,-,-,-,-,-,-
Lojas Marisa,ON,61189288000189,BR,ativo,2205,Loja de roupas,Comércio,Ação,Bovespa,AMAR3,BRAMARACNOR4,12,2432599,857765,2450315,1197525,177493,Real,184551,0.96175582901,4.6478480203,13.277169996,0.679375302,4.0,2.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Decio Goldfarb,24,Marcio Luiz Goldfarb,7.2,"Taef Fund, Llc",7,Denise Goldfarb Terpins,6.4,Marcelo Goldfarb,6,Flavia Goldfarb Papa,6,Roberta Goldfarb Philippsen,6.1,Rodrigo Terpins,6,Michel Terpins,6,Ticiana Terpins Strozenberg,6.0
Lojas Renner,ON,92754738000162,BR,ativo,813,Loja de roupas,Comércio,Ação,Bovespa,LREN3,BRLRENACNOR1,12,2983504,1154998,3238543,1842414,336907,Real,122821,2.7514158192,9.4039130116,26.44818434,1.9379,4.0,3.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Aberdeen Asset Management Plc,15,"Blackrock, Inc",7.3,"T. Rowe Price Associates, Inc.",6,Schroder Investment Management Limited,5.0,-,-,-,-,-,-,-,-,-,-,-,-
Lopes Brasil,ON,8078847000109,BR,ativo,2037,Atividades relacionadas a imóveis,Outros,Ação,Bovespa,LPSB3,BRLPSBACNOR0,12,1132888,430778,432388,369466,142638,Real,56562,2.5502149061,7.6160319649,7.7306350539,0.4615,1.8,1.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Rosediamond Llp,32,Marcos Bulle Lopes,12.0,F.I.M. Credito Privado Mocastland,8,Federated Equity Management Company Of Pennsylvania,5.2,Mfs Investment Management,5,Francisco Lopes Neto,5,Francisco Lopes Filho,1.2,Administradores,0,Sao Francisco Part. Ltda.,0,Equity Engenharia e Empreendimentos,0.0
Lupatech,ON,89463822000112,BR,ativo,2006,Forjarias e estamparias,Siderur & Metalur,Ação,Bovespa,LUPA3,BRLUPAACNOR8,12,1503219,-46428,574003,167796,-241332,Real,47716,-5.057650192,-0.9730048575,12.0295128,0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Lupapar Negocios e Empreendimentos,25,Petros - Fund. Petrobras de Seg. Social,15.0,Bndespar - BNDES Participacoes SA,11,Acoes em Tesouraria,0.0,-,-,-,-,-,-,-,-,-,-,-,-
M G Poliest,ON,56806656000150,BR,ativo,1455,Indústria química,Química,Ação,Bovespa,RHDS3,BRRHDSACNOR0,12,1714944,174639,1724330,238372,-66879,Real,8024960,-0.0083338733153,0.02176197763,0.21487085294,0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,M&G Resinas Participacoes Ltda,75,Mossi & Ghisolfi Internacional S/A,22.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
M. Diasbranco,ON,7206816000115,BR,ativo,2033,Outras indústrias de alimentos,Alimentos e Beb,Ação,Bovespa,MDIA3,BRMDIAACNOR7,12,3058156,2005773,2911033,1098500,366544,Real,113450,3.2308858528,17.679797268,25.659171441,1.54246487,3.2,3.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Dibra Fundo de Inv. em Participacoes,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Magaz Luiza,ON,47960950000121,BR,ativo,2247,Loja de departamentos,Comércio,Ação,Bovespa,MGLU3,BRMGLUACNOR2,12,4877354,620945,6419371,2144287,11666,Real,186494,0.066917961358,3.3295709245,36.822494473,0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ltd Administracao e Participacoes S.A.,61,Wagner Garcia Participacoes S.A.,4.5,Luiza Trajano Donato,1,Pelegrino Jose Donato,0.7,Luiza Helena Trajano Inacio Rodrigues,1,Onofre de Paula Trajano,0,Espolio de Wagner Garcia da Silva Junior,0.1,-,-,-,-,-,-
Magnesita SA,ON,8684547000165,BR,ativo,2084,Extração de minerais não metálicos,Mineração,Ação,Bovespa,MAGG3,BRMAGGACNOR4,12,5334169,2638331,2318903,730090,97911,Real,291982,0.33997448768,9.0359391893,8.0518824179,0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Alumina Holdings, Llc",30,Rearden L Holdings 3 S.A R.L,7.2,Fama Investimentos Ltda,7,Mag - Fundo de Inv. em Participacoe,3.3,Gif-II - Fundo de Inv. em Participacoes,2,Gpcp4 FIP,0,-,-,-,-,-,-,-,-
Mangels Indl,ON,61065298000102,BR,ativo,839,Forjarias e estamparias,Siderur & Metalur,Ação,Bovespa,MGEL3,BRMGELACNOR6,12,834845,193919,722904,96903,-11645,Real,17350,-0.67119556039,11.177120813,41.666805959,295,-,-,Yukon FIA,28.3,Fator Sinergia IV FIA,17.5,Bndespar - BNDES Participacoes SA,13.0,Jose Antonio Bortoluzzo Netto,10.8,Mangels S/A,0.0,-,-,-,-,-,-,-,-,-,-,Mangels S/A,100,-,0.0,-,0,-,0.0,-,0,-,-,-,-,-,-,-,-,-,-
Marambaia,ON,51468056000106,BR,ativo,1218,Indústria de bebidas,Alimentos e Beb,Ação,Bovespa,CTPC3,BRCTPCACNOR5,-,-,-,-,-,-,Real,12981,-,-,-,0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Pedro Demenato Fernandes,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Marcopolo,ON,88611835000129,BR,ativo,845,Indústria de carrocerias e trailers,Veiculos e peças,Ação,Bovespa,POMO3,BRPOMOACNOR0,12,3381131,1162144,3368876,741696,343144,Real,446372,0.76808333145,2.6035338795,7.5407919163,372,5.8,6.2,Petros - Fund. Petrobras de Seg. Social,15.0,HSBC Global Investment Funds - Brazil Equity,8.4,Jose Antonio Fernades Martins,7.5,Mason Hills Advisors Llc,6.4,Norges Bank - HSBC Ctvm S.A.,5.9,Acoes em Tesouraria,0.7,Paulo Pedro Bellini,0.5,Valter Antonio Gomes Pinto,0,-,0.0,-,0.0,Paulo Pedro Bellini,44,Fundacao Bco.Central Prev.Priv. -Centrus,15.2,Valter Antonio Gomes Pinto,9,Davos Participacoes Ltda.,9.4,Vate - Participacoes e Administracao Ltd,3,Jose Antonio Fernades Martins,0,-,0.0,-,0,-,0,-,0.0
Marfrig,ON,3853896000140,BR,ativo,2078,Abatedouros,Alimentos e Beb,Ação,Bovespa,MRFG3,BRMRFGACNOR0,12,23823441,5733708,21884909,3142617,-746012,Real,345651,-2.1520044915,16.58812529,63.130918087,0.113668501,1.3,0.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mms Participacoes S/A,43,Bndespar - BNDES Participacoes SA,13.9,Osi International Holding Limited,6,"Templeton Asset Management, Ltd",5.0,Marcos Antonio Molina Dos Santos,3,Acoes em Tesouraria,0,-,-,-,-,-,-,-,-
Melhor SP,ON,60730348000166,BR,ativo,365,Indústria de produtos de papel e papelão,Papel e Celulose,Ação,Bovespa,MSPA3,BRMSPAACNOR0,12,1517988,828377,124307,58591,-4455,Real,6573,-0.67777270653,126.02723261,18.911760231,0,-,0.0,Trife Participacoes Ltda,12.6,Indojucar Participacoes Ltda,12.2,Uger Participacoes Ltda,7.8,Ana Maria de Moraes Velloso,3.0,Hdw Agro Pecuaria e Particip. Ltda,2.8,Brupan Participacoes Ltda,2.6,Patima Participacoes Ltda,1.8,Incopar Participacoes Ltda,2,Waladi Participacoes Ltda,0.0,-,-,Hdw Agro Pecuaria e Particip. Ltda,17,Indojucar Participacoes Ltda,15.0,Brupan Participacoes Ltda,12,Waladi Participacoes Ltda,10.5,Patima Participacoes Ltda,10,Incopar Participacoes Ltda,10,Ana Maria de Moraes Velloso,7.8,Uger Participacoes Ltda,2,Trife Participacoes Ltda,0,-,-
Mendes Jr,ON,17162082000173,BR,ativo,478,Outras construções pesadas,Construção,Ação,Bovespa,MEND3,BRMENDACNOR9,12,9130626,4329137,1918,1412,578906,Real,10309,56.155398196,419.93762732,0.18605102338,16.16,-,-,Edificadora S/A,90.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Edificadora S/A,98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Merc Brasil,ON,17184037000110,BR,ativo,132,Bancos,Finanças e Seguros,Ação,Bovespa,BMEB3,BRBMEBACNOR8,12,12140427,624698,-,-,69752,Real,35400,1.9703954802,17.646836158,-,0.851765,5.8,5.5,Erildo Lima,19.2,Yehuda Waisberg,8.9,Clube de Investimento Multi,6.7,Alberto Michaan,5.3,Opera Valor Fundo de Invest. em Acoes,5.1,Agropar Belo Vale S/A,4.0,Renato Augusto de Araujo,1.2,Milton de Araujo,1,Marisa de Araujo Longo,0.2,Marco Antônio Andrade de Araújo,0.0,Milton de Araujo,23,Agropar Belo Vale S/A,8.5,Sociedade Coml e Agricola Santa Luzia Lt,7,Cristiana Nogueira de Araujo,5.8,Mauricio de Faria Araujo,5,Sapil Ltda,5,Lusbem Gestão Parti. Societ. Ltda,4.6,Renato Augusto de Araujo,4,Paulo Henrique Brant de Araújo,3,Marisa de Araujo Longo,2.2
Merc Financ,ON,33040601000187,BR,ativo,854,Bancos,Finanças e Seguros,Ação,Bovespa,MERC3,BRMERCACNOR2,12,303029,137146,-,-,9161,Real,11760,0.77899659864,11.662074829,-,578,-,-,Banco Mercantil do Brasil S.A.,55.6,Sergio Eduardo Ferreira Rodarte,8.8,Alberto Michaan,6.5,Vera Lucia de Araujo Assuncao Costa,6.1,-,-,-,-,-,-,-,-,-,-,-,-,Banco Mercantil do Brasil S.A.,92,Sergio Eduardo Ferreira Rodarte,1.7,Vera Lucia de Araujo Assuncao Costa,2,Alberto Michaan,0.1,-,-,-,-,-,-,-,-,-,-,-,-
