Empresa,CNPJ,Fonte,Link,"Composição acionária – Formato:
Empresa 1 (xx%)
Empresa 2 (yy%)
Empresa 3 (zz%)","Controle sobre outras empresas – Formato:
Empresa 1 (xx%)
Empresa 2 (yy%)
Empresa 3 (zz%)",Observações,Código BOVESPA
BONAIRE PARTICIPAÇÕES S.A.,02.117.801/0001-67,Econoinfo,,ENERGIA SÃO PAULO FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES (100%),,,
MMS Participações S.A.,08.542.030/0001-31,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=MRFG," Márcia Aparecida Pascoal Marçal dos Santos (50%)
Marcos Antonio Molina dos Santos (50%)",,,
Companhia Brasiliana de Energia ,04.128.563/0001-10,Econoinfo,,"Bndespar - BNDES Participacoes SA (50,00%)
AES Holdings Brasil Ltda. (50,00%)",,,
AES Holdings Brasil Ltda.,05.692.190/0001-79,Econoinfo,,"AES Brazilian Holdings Ltd. (95,71%)
Cemig II, CV (4,29%)",,,
AES Brazilian Holdings Ltd.,ILHAS CAIMA,Econoinfo,,"Cemig II, CV (94,14%)
AES Cayman I (5,86%)",,,
"Cemig II, CV",ILHAS CAIMA,Econoinfo,,"La Plata III, CV (99,90%)
The AES Corporation (0,10%)",,,
"La Plata III, CV",ILHAS CAIMA,Econoinfo,,"Global Energy Investment CV (99,90%)
The AES Corporation (0,10%)",,,
Global Energy Investment CV,HOLANDA,Econoinfo,,"The AES Corporation (95,27%)
AES Rio Diamante, Inc (3,18%)
AES EDC HOLDING, LLC (0,81%)
AES GEH Holdings, LLC (0,74%)",,,
The AES Corporation ,EUA,Econoinfo,,"China Investment Corporation (16,83)
Fidelity Management & Research (8,55%)
T. Rowe Price Associates (5,85%)",,,
Cosan Limited,08.887.330/0001-52,Econoinfo,,"Queluz Holdings Limited (27,68%)
Fundos Gávea (14,57%)
Usina Costa Pinto S.A. Açúcar e Álcool (11,09)
JANUS CAPITAL GROUP (6,33%)",,,
Queluz Holdings Limited,Ilhas Virgens Britânicas,Econoinfo,,"Queluz Holdings II GmbH (100,00%)",,,
Queluz Holdings II GmbH,alemã,Econoinfo,,"Queluz S.A. Administração e Participações (100,00%)",,,
Queluz S.A. Administração e Participações,08.176.351/0001-60,Econoinfo,,"Aguassanta Participações S.A. (68,80%)
Amaralina Agrícola Ltda (31,20%)",,,
Amaralina Agrícola Ltda,04.016.922/0001-48,Econoinfo,,"Santa Bárbara Agrícola S.A. (23,92%)
Pedro Ometto S.A. Administração e Participações (21,15%)
Aguassanta Participações S.A. (18,72%)
Usina Bom Jesus S.A. Açúcar e Álcool (15,40%)
Usina Costa Pinto S.A. Açúcar e Álcool (13,78%)",,,
Santa Bárbara Agrícola S.A.,55.364.616/0001-33,Econoinfo,,"Usina Costa Pinto S.A. Açúcar e Álcool (99,68%)",,,
Usina Costa Pinto S.A. Açúcar e Álcool,44.689.123/0001-57,Econoinfo,,"HYPOSWISS BANCO PRIVADO S.A (00,00%)
Adhemar João de Barros (00,00)
Jaime M Chalam (00,00)",,,
Pedro Ometto S.A. Administração e Participações,61.960.050/0001-05,Econoinfo,,"Nova Aguassanta Administração de Participações Ltda (99,99%)",,,
Nova Aguassanta Administração de Participações Ltda,07.198.897/0001-59,Econoinfo,,"Aguassanta Participações S.A. (91,5%)
OMETTO MORENO COMERCIO E EMPREENDIMENTOS LTDA. (6,25%)",,,
 Aguassanta Participações S.A.,07.198.897/0001-59,Econoinfo,,"Usina Bom Jesus S.A. Açúcar e Álcool (80,55%)
Flama Empreendimentos e Participações S/A (5,25%)",,,
Usina Bom Jesus S.A. Açúcar e Álcool,47.756.754/0001-30,Econoinfo,,"RUBENS OMETTO SILVEIRA MELLO (73,92%)
Isa Participações Ltda (16,90%)",,,
Isa Participações Ltda,,Econoinfo,,"Isaltina Ometto Silveira Mello (99,90%)",,,
Flama Empreendimentos e Participações S/A,51.770.188/0001-98,Econoinfo,,"Fernando Luiz Altério (50,01%)
Ana Maria Ometto Altério (49,99%)",,,
OMETTO MORENO COMERCIO E EMPREENDIMENTOS LTDA.,53.353.801/0001-05,Econoinfo,,"Fernando Manoel Ometto Moreno (100,00%)",,,
Rezende Barbosa S.A. Administração e Participações,44.358.034/0001-28,Econoinfo,,"ROBERTO DE REZENDE BARBOSA (33,34%)
Renato Eugenio de Rezende Barbosa (33,33%)
José Eugenio de Rezende Barbosa Sobrinho (33,33%)",,,
Vicunha Siderurgia S/A,02.871.007/0001-04,Econoinfo,,"VICUNHA AÇOS S.A. (99,99%)
",,,
VICUNHA AÇOS S.A.,04.213.131/0001-08,Econoinfo,,"Vicunha Steel S.A, (99,99%)",,,
"Vicunha Steel S.A,",04.169.992/0001-36,Econoinfo,,"Rio Purus Participações S.A. (59,99%)
CFL Participações S.A. (39,99%)",,,
Rio Purus Participações S.A., 60.078.060/0001-59,Econoinfo,,"Dorothéa Steinbruch (100,00%)",,,
CFL Participações S.A. ,60.078.045/0001-00,Econoinfo,,"Fabio Steinbruch (33,33%)
Leo Steinbruch (33,33%)
Clarice Steinbruch (33,33%)",,,
Rio Iaco Participacoes S.A.,06.990.482/0001-50,Econoinfo,,"RIO PURUS PARTICIPAÇÕES S.A (99,80%)",,,
Iberdrola Energia S.A.,05.470.823/0001-02,Econoinfo,,"Iberdrola S.A. (100,00%)",,,
Iberdrola S.A.,ESPANHA,Econoinfo,,"QATAR HOLDING LUXEMBURGO II, S.A.R.L. (6,26%)
RESIDENC. MONTE-CARMELO (6,13%)
BANCAJA INVERSIONES S.L. (5,35%)
KARTERA 1 S.L. (5,31%)
NEXGEN CAPITAL LIMITED (4,73%)
CORPORATE FUNDING S.L. (4,48%)
ACS - Actividades de Construcción y Servicios (2,30%)
QUATAR HOLDING LLC. (2,19%)
ROPERFELI S.L. (1,20%)",,,
"QATAR HOLDING LUXEMBURGO II, S.A.R.L.",QATAR,Econoinfo,,"QATAR INVESTMENT AUTHORITY (100,00%)",,,
RESIDENC. MONTE-CARMELO,ESPANHA,Econoinfo,,"ACS - Actividades de Construcción y Servicios (100,00%)",,,
BANCAJA INVERSIONES S.L.,ESPANHA,Econoinfo,,"Banco Financeiro Y de Ahorros, S.A. (100,00%)",,,
KARTERA 1 S.L. ,ESPANHA,Econoinfo,,"BBK – Bilbao Bizcaia Kutxa,Aurrezki Kutxa Eta Bahitetxea (100,00%)",,,
NEXGEN CAPITAL LIMITED,IRLANDA,Econoinfo,,"NEXGEN FINANCIAL HOLDINGS (100,00%)",,,
NEXGEN FINANCIAL HOLDINGS,IRLANDA,Econoinfo,,"NATIXIS S.A (100,00%)",,,
NATIXIS S.A,FRANÇA,Econoinfo,,"BPCE (71,50%)",,,
CORPORATE FUNDING S.L. ,ESPANHA,Econoinfo,,"ACS - Actividades de Construcción y Servicios (100,00%)",,,
ACS - Actividades de Construcción y Servicios,ESPANHA,Econoinfo,,"Corporación Financiera Alba, S.A. (18,31%)
Inversiones Vesán, S.A. (12,52%)
Southeastern Asset Management, Inc (7,48%)
Mr. Alberto Cortina Alcocer (6,55%)
Mr. Alberto Alcocer Torra (6,40%)
Sayglo Holding, S.L. (5,64%)",,,
QUATAR HOLDING LLC.,QATAR,Econoinfo,,"QATAR INVESTMENT AUTHORITY (100,00%)",,,
ROPERFELI S.L.,ESPANHA,Econoinfo,,"ACS - Actividades de Construcción y Servicios (100,00%)",,,
Fundo Mutuo Inv. Acoes BB Cart. Livre I,73.899.742/0001-74,Econoinfo,,"Caixa de Previdência dos Funcionários do Banco do Brasil - PREVI (100,00%)",,,
BB Banco de Investimento S/A,24.933.830/0001-30,Econoinfo,,"Banco do Brasil S.A (100,00%)",,,
Tim Brasil Servicos e Participacoes S.A.,02.600.854/0001-34,Econoinfo,,"Telecom Italia International N.V. (100,00%)",,,
Telecom Italia International N.V.,,Econoinfo,,"Telecom Italia S.p.A. (100,00%)",,,
Telecom Italia S.p.A.,,Econoinfo,,"Telco S.p.A. (22,40%)
Findim Group S.A (4,99%)",,,
Telmex Solutions Telecom. Ltda,02.570.352/0001-08,Econoinfo,,"Consertel - Controladora de Servicios de Telecomunicaciones S.A., de CV (100,00%)
JOSÉ FORMOSO MARTÍNEZ (00,00%)",,,
Consertel - Controladora de Servicios de Telecomunicaciones S.A. de CV,07.164.586/0001-79,Econoinfo,,"Telmex Internacional, S.A.B. de C.V. (100,00%)
Compañia de Teléfonos y Bienes Raices, S.A. de CV (00,00%)",,,
S-Velame Adm. de Rec. e Part. S/A ,07.048.386/0001-50,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=LAME,"SANTA MÔNICA PARTICIPAÇÕES SA (25,00%)
SANTA LUZIA PARTICIPAÇÕES SA (25,00%)
SANTA PERPÉTUA PARTICIPAÇÕES SA (25,00%)
SANTA APARECIDA PARTICIPAÇÕES SA (25,00%)",,,
SANTA MÔNICA PARTICIPAÇÕES SA,07.232.203/0001-52,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=,"CEDAR TRADE LLC - CREDIT SUISSE (BRASIL) S/A CTVM (100,00%)
Carlos Alberto da Veiga Sicupira (0,00%)
MARCEL HERRMANN TELLES (0,00%)",,,
SANTA LUZIA PARTICIPAÇÕES SA,07.235.256/0001-27,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=,"Carlos Alberto da Veiga Sicupira (100,00%)
MARCEL HERRMANN TELLES (0,00%)
JORGE PAULO LEMANN (0,00%)",,,
SANTA PERPÉTUA PARTICIPAÇÕES SA,07.232.236/0001-00,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=,"CEDAR TRADE LLC - CREDIT SUISSE (BRASIL) S/A CTVM (100,00%)
Carlos Alberto da Veiga Sicupira (0,00%)
MARCEL HERRMANN TELLES (0,00%)",,,
CEDAR TRADE LLC - CREDIT SUISSE (BRASIL) S/A CTVM,09.651.581/0001-04,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=,"MANIRO LIMITED (100,00%)",,,
SANTA APARECIDA PARTICIPAÇÕES SA,07.234.772/0001-37,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=,"MARCEL HERRMANN TELLES (100,00%)
JORGE PAULO LEMANN (0,00%)
Carlos Alberto da Veiga Sicupira (0,00%)",,,
"Companhia Global de Varejo, Llc - Credit Suisse (Brasil) S/A Ctvm",12.525.582/0001-09,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=,"MANIRO LIMITED (33,34%)
Santa Venerina Investments & Arbitrage Inc (33,33%)
Santa Marcelina Investiments & Arbitrage Inc (33,33%)",,,
Santa Venerina Investments & Arbitrage Inc,BAHAMAS,Econoinfo,,"MCMT Holding Limited (100,00%)",,,
Santa Marcelina Investiments & Arbitrage Inc,BAHAMAS,Econoinfo,,"Carlos Alberto da Veiga Sicupira (100,00%)",,,
Holdco I S.A.,15.125.401/0001-45,Econoinfo,,"TEP Chile S.A. (0%)
LATAM Airlines S.A. (0%)",,,
